Nhận xét,Cảm xúc
đường chuyền internet khôn ổn định,tệ
Thời gian đi lại,tệ
Mạng yếu,tệ
interbet kh ổn định,tệ
khó tiếp thu bài giảng ,tệ
Khó tiếp thu hơn so với khi học trực tiếp.,tệ
Khó tiếp thu bài giảng của giảng viên,tệ
"internet kém, mỏi mắt khi sử dụng máy tính lâu",tệ
có nhìu tiếng động,tệ
- Đôi lúc sẽ mất điện hay wifi gây ảnh hưởng việc học online,tệ
Khó tiếp thu kiến thức ,tệ
"Mạng lag, dựt",tệ
tín hiệu mạng kém,tệ
Thiết bị còn nhiều thiếu sót,tệ
Không có nhiều thời gian để hỏi thêm bài,tệ
Đường truyền mạng không ổn định,tệ
khó tập trung,tệ
Đường truyền hay gặp vấn đề,tệ
mất mạng,tệ
Khó tiếp thu hết,tệ
Sẽ ít tập trung hơn ,tệ
Mạng lag,tệ
Ít khó khăn,tệ
Đường truyền mạng hay gặp sự cố,tệ
Thường xuyên rớt mạng,tệ
Không tương tác trực tiếp với giáo viên,tệ
"Dễ bị mất tập trung, không hiệu quả như khi học trực tiếp.",tệ
Dễ buồn ngủ ,tệ
đường truyền không ổn định,tệ
Thời gian ,tệ
Mạng yếu nên rất hay bị out ra ngoài,tệ
Không được gặp ạ,tệ
Đôi khi đường truyền bị yếu hoặc bị mất điện,tệ
không kts bạn được,tệ
"đường truyền yếu, mất điện",tệ
Lag,tệ
đường truyền nhiều khi ko ổn định em ko hiểu bài,tệ
Cup điện mạng yếu,tệ
internet đôi khi không ổn định,tệ
Ko nạp đc hết kiến thức,tệ
"Mang lag, hơi khó hiểu",tệ
cúp điện kh học đc,tệ
mạng lag,tệ
Đường truyền không ổn định,tệ
Khó hỏi bài và gặp trực tiếp giảng viên và các bạn trong lớp,tệ
mạng wifi,tệ
Dễ bỏ lỡ bài giảng,tệ
Khó trao đổi với giáo viên về vấn đề bài học,tệ
đường truyền internet không ổn định,tệ
Lag,tệ
không tương tác được nhiều với các bạn cùng lớp,tệ
Mạng lag,tệ
Sập mạng,tệ
Tiếp thu chậm hơn so với học trực tiếp,tệ
 Ở quê hay bị cúp điện,tệ
Không được gặp bạn bè ,tệ
Mạng yếu,tệ
Đường truyền Internet không ổn định,tệ
Gặp sự cố về internet. ,tệ
đường truyền internet,tệ
Học giờ trưa nên hơi buồn ngủ,tệ
khả năng tiếp thu thấp hơn,tệ
sợ bị cúp điện khi kiểm tra,tệ
Mạng không ổn định,tệ
mạng lag,tệ
đường truyền internet,tệ
Khó hiểu,tệ
Không tương tác dc nhiều,tệ
hại mắt,tệ
"gặp các trục trặc về mạng, khó tiếp thu",tệ
về mất điện và nhà mạng,tệ
mạng yếu hay out bất chợt,tệ
đường truyền internet đôi khi không ổn định ,tệ
Wifi yếu ,tệ
Cúp điện,tệ
đường truyền mạng,tệ
không hiểu được như học off,tệ
không tương tác được nhiều,tệ
Đôi khi mạng lag nên có chút khó khăn về việc nghe giảng .,tệ
ko có ạ,tệ
đôi lúc mạng không ổn định,tệ
Ko được gặp gỡ bạn bè thầy cô để trao đổi học tập cũng như kĩ năng kinh nghiệm,tệ
khó tiếp thu kiến thức,tệ
khó tiếp thu 100% kiến thức,tệ
Internet k ổn định,tệ
Internet thỉnh thoảng bị gián đoạn,tệ
khó tập trung ,tệ
"Cúp điện, rớt mạng",tệ
thiếu sự tương tác,tệ
Sợ mất điện,tệ
Dễ bị rớt mạng trong quá trình học,tệ
kết nối,tệ
đôi khi mạng còn bị lag,tệ
đường truyền internet,tệ
Đường truyền internet,tệ
Học tại nhà nên ồn ào,tệ
đường truyền không ổn định,tệ
đường truyền internet,tệ
Khó hiểu bài hơn học trực tiếp,tệ
Bị mất điện,tệ
đường truyền internet,tệ
dễ gặp sự cố,tệ
không hiệu quả về học tập,tệ
mất điện khi kiểm tra hay thi cử,tệ
Đường truyền wifi yếu,tệ
Mạng yếu cản trở việc học,tệ
không khó khăn,tệ
Mạng bị chậm,tệ
Tiếng ồn,tệ
ko vui,tệ
Kết nối mạng chưa được tốt,tệ
đường truyền internet kém làm gián đoạn việc học,tệ
mạng wifi bị yếu quá trình học bị gián đoạn ,tệ
Đường truyền internet,tệ
rớt mạng,tệ
Hay mất mạng,tệ
khó tập trung,tệ
Đã quen học tập theo phương pháp truyền thống,tệ
Gặp trục trặc mạng ,tệ
Lâu lâu bị mất kết nối mạng,tệ
Khó tập trung,tệ
đường truyền mạng ,tệ
kỹ năng sử dụng công nghệ khi học,tệ
em chưa thấy khó khăn gì nhiều,tệ
đường truyền không ổn định,tệ
Mạng yếu,tệ
"mạng bị lag, máy nóng",tệ
"Đường truyền Internet đôi khi không ổn định, mỏi mắt",tệ
"Mạng không ổn định , bị gián đoạn thường xuyên",tệ
Đôi khi nghe không rõ,tệ
Học được sự kiên định,tệ
"Máy lag , mạng yếu",tệ
 mạng yếu,tệ
Hay mất tập trung,tệ
Mjang lag,tệ
Đường truyền mạng không ổn định,tệ
Khó tương tác,tệ
giờ vô ca 1 sớm đối với sinh viên đi làm như em.,tệ
"đường truyền internet, thiết bị sử dụng",tệ
Không có tương tác trực tiếp được với mọi người,tệ
mạng yếu ,tệ
đường truyền không ổn định,tệ
buồn ngủ,tệ
Khó khăn trong quá trình trao đổi với giảng viên,tệ
vấn đề về internet,tệ
Tương tác giữa giáo viên và sinh viên,tệ
Dễ chán ,tệ
mạng không ổn định,tệ
Khó tương tác,tệ
Đường truyền  internet hay gặp sự cố,tệ
mạng yếu,tệ
Không có vấn đề gì khó khăn ạ,tệ
đường truyền kém,tệ
Đường truyền internet; thiết bị sử dụng học trực tuyến,tệ
Mất điện đột xuất,tệ
Đường truyền internet bị gián đoạn,tệ
Đôi khi mất wifi giữa chừng tiết học,tệ
Đôi khi mất tín hiệu internet ảnh hướng đến bài giảng,tệ
Mạng lag ,tệ
Có vài hôm mạng hơi yếu,tệ
Mạng không ổn định,tệ
đường truyền không ổn định,tệ
đường truyền đôi khi bị lỗi,tệ
Khó tiếp thu bài học hiệu quả,tệ
Rớt mạng đột ngột ,tệ
mạng yếu,tệ
khó làm việc nhóm,tệ
đường truyền internet,tệ
"tập trung chưa cao, dễ phân tâm",tệ
dễ bị mất tập trung,tệ
đường truyền internet yếu,tệ
Mạng ko ổn định,tệ
Mạng sập,tệ
Khó bàn bạc làm bài,tệ
Internet và màn hình ,tệ
mạng,tệ
cup dien,tệ
"wifi chập chờn, máy hư, ",tệ
đường truyền mạng không ổn định,tệ
"Mạng yếu, lâu lâu bị cúp điện bất chợt",tệ
Mạng lag ,tệ
"Cúp điện, mạng lag",tệ
hay gặp trục trặc mạng,tệ
mất tập trung,tệ
thiết bị cá nhân đôi lúc gặp trục trặc,tệ
Khó hiểu bài ,tệ
 mạng wifi yếu,tệ
khó tiếp thu,tệ
Tình trạng internet không ổn định,tệ
Mạng yếu,tệ
"Mạng không ổn định, dể mất tập trung",tệ
mạng lag,tệ
Khó hiểu hơn khi học tại trường,tệ
mạng kém,tệ
Không có gì khó khăn,tệ
Tuêps thu bài không trọn vẹn,tệ
"Mất điện, mạng lag ",tệ
Đường truyền Internet bị lag,tệ
Mạng không ổn định,tệ
Mạng internet,tệ
đã quen với phương pháp học truyền thống,tệ
Mạng lag,tệ
rớt mạng mạng lag cúp điện,tệ
thiết bị học thường trục trặc,tệ
Nhìn quá nhiều vào màn hình điện thoại,tệ
"Wifi không ổn định, tác động bên ngoài ",tệ
Khó tiếp thu bài,tệ
Đường trường kém,tệ
Mất kết nối,tệ
đường truyền internet,tệ
Thiếu dụng cụ học tập ,tệ
"Đường truyền internet không ổn định làm ảnh hưởng tới kết quả học tập của sinh viên, nhiều sv còn thủ động trong quá trình học tập.",tệ
hơi mất tập trung,tệ
"xa nhà, xa gia đình, đi lại khó khăn",tệ
 đường truyền internet còn yếu,tệ
Thường xuyên bị mất wifi vì bắt ké nhà hàng xóm,tệ
Mạng và thiết bị đôi khi lag và yếu,tệ
Đôi khi đường truyền kém,tệ
"đường truyền internet không tốt, thiết bị trục trặc",tệ
hay lag mạng ,tệ
Mạng dễ rớt những lúc trời mưa,tệ
Không chất lượng,tệ
hiểu bài chậm,tệ
đường truyền yếu,tệ
khó có thể hiểu hết hàm ý giáo viên tuyền tải qua internet,tệ
mạng yếu,tệ
Khó giao lưu cùng mọi người,tệ
đường truyền kém,tệ
Học online nhiều đôi lúc laptop bị nóng máy làm chậm máy…,tệ
học không hiệu quả bằng học off,tệ
Rớt mạng hoặc cúp điện,tệ
Đường truyền yếu,tệ
Mạng lag,tệ
Mạng lag,tệ
Không được tương tác trực tiếp ,tệ
sự cố mạng,tệ
mạng yếu,tệ
Đường truyền không ổn định ,tệ
"Đường truyền internet không ổng đinh, lâu lâu nhà bị mất điện",tệ
Đường truyền đôi khi k ổn,tệ
Đường truyền kết nối yếu,tệ
Mạng chập chờn ,tệ
dễ phân tâm.,tệ
Khó nắm bắt bài,tệ
Làm việc nhóm khó,tệ
Mạng,tệ
internet có lúc yếu,tệ
Rớt mạng,tệ
Mạng thường trục trặc,tệ
vẫn có phần chưa hiểu + mạng,tệ
Khó tiếp thu,tệ
Đường truyền internet,tệ
Mạng yếu ,tệ
Khó hiểu hơn khi học tại lớp,tệ
Mau hết pin khi học,tệ
hay mất mạng,tệ
Mạng yếu ,tệ
rớt mạng ,tệ
"Tài liệu, quá trình thi",tệ
Rớt mạng,tệ
đường truyền mạng,tệ
đường truyền internet;,tệ
k tiếp thu kiến thức tốt,tệ
Không có tài liệu,tệ
đôi khi mạng lag khó nghe,tệ
đường truyền internet,tệ
đường truyền internet đã quen học tập theo phương pháp truyền thống; ,tệ
đường truyền internet,tệ
Lỗi camera của laptop ,tệ
Mạng yếu,tệ
Mạng đôi lúc yếu ,tệ
tình trạng mạng kh ổn định,tệ
Wifi không ổn định,tệ
khó trao đổi bài,tệ
Mạng yếu,tệ
Khó tiếp thu ,tệ
Mạng,tệ
mạng yếu,tệ
mạng không ổn định,tệ
"thầy giảng không hiểu , ",tệ
hay mất mạng,tệ
Khó tiếp thu,tệ
không tập trung,tệ
Mạng yếu,tệ
Đường truyển internet,tệ
", rối loạn , mạng lag , k hiểu bài ",tệ
Mất kết nói khó tiếp thu bài ,tệ
Khó khăn nhiều lúc đường truyền k ổn định,tệ
Mất mạng,tệ
đường truyển internet kém,tệ
mất tập trung,tệ
mạng yếu,tệ
Mất kết nối mạng,tệ
"Mất điện, lỗi điện thoại, ko ổn định mạng",tệ
Mạng lag,tệ
mạng hay yếu bất ngờ,tệ
Khó thảo luận nhóm,tệ
Đường truyền internet ,tệ
mạng yếu,tệ
Wifi nhà yếu hay rớt,tệ
Khó trao đổi bài,tệ
Mất mạng,tệ
bị sự cố về mạng,tệ
Khó hiểu,tệ
Không được tương tác trực tiếp với giảng viên,tệ
Khó tiếp thu hơn bên ngoài,tệ
mạng yếu gây cản trở việc học,tệ
Mất mạng wifi 3g dễ bị mất kiến thức,tệ
wifi hơi lag ,tệ
Kh có sách,tệ
Không được gặp giáo viên để trao đổi bài vở,tệ
Đường truyền internet kém,tệ
Khó tiếp thu,tệ
Lag,tệ
Khó hiểu bài,tệ
 Xảy ra sự cố phát sinh lỗi máy móc thiết bị,tệ
Đường truyền mạng không ổn định,tệ
Đường truyền mạng kém,tệ
Mạng hay gặp vấn đề,tệ
mạng yếu,tệ
"mạng yếu, nhiều lí do khách quan nhưng không được công nhận",tệ
mất mạng ,tệ
khó hiểu bài,tệ
Đường truyền lâu lâu bị trục trặc,tệ
giảng viên cần  chú ý đến sinh viên nhiều hơn,tệ
Mạng yếu,tệ
Mạng không ổn định,tệ
"Đường mạng không ổn định, có những bất cấp trong học tập, đã quen cách học trực tiếp",tệ
Internet kém,tệ
Mạng yếu,tệ
khó tiếp thu lượng kiến thức ,tệ
Mạng không ổn định ,tệ
out mạng,tệ
điện mạng và không gian nhiều bất cập,tệ
"Dễ gặp sự cố về internet, mất điện",tệ
không hiểu bài,tệ
Đường  truyền internet,tệ
Đường truyền kém,tệ
Hơi khó hiểu,tệ
trì hoãn do đường truyền,tệ
khó tiếp thu,tệ
Internet đường truyền thấp,tệ
mất internet,tệ
Mạng internet đôi lúc hơi yếu ,tệ
Không được giao tiếp trực tiếp với giảng viên ,tệ
Mạng yếu,tệ
Mạng không ổn định,tệ
"Mạng kém, giật lag",tệ
rot mang,tệ
Rớt wifi,tệ
Mạng không ổn định,tệ
Quá nhiều bài tập nên thời gian học nhiều hơn so với bình thường ,tệ
mang yeu,tệ
Đường truyền không ổn định,tệ
đường truyền không ổn định,tệ
Đường truyền internet,tệ
Không đem laptop về quê,tệ
"rớt mạng, mất điện",tệ
đôi lúc mạng không ổn định,tệ
không được gặp bạn bè để trao đổi nhiều ,tệ
internet không ổn định,tệ
Mạng yếu ,tệ
Mạng yếu mất điện ,tệ
mạng hơi lag,tệ
Đường truyền internet kém,tệ
Mạng yếu nên không học được,tệ
Khó giao tiếp với giảng viên,tệ
Mất kết nối mạng ,tệ
Đường truyền internet không được ổn định cho lắm,tệ
mạng yếu gặp nhiều bất lợi,tệ
nhà đông cháu bị ồn,tệ
cúp điện,tệ
không khó khăn,tệ
Nhà mạng,tệ
MẠNG VÀ ĐIỆN LÀ THỨ ĐÁNG LO.,tệ
Mạng chập chờn ,tệ
đường truyền không ổn định,tệ
sập mạng,tệ
Khó tiếp thu,tệ
đường truyền internet; thiết bị sử dụng học trực tuyến,tệ
Hay bị mất mạng,tệ
đường truyền internet,tệ
"học onl hay mất wifi, mất kết nối, ",tệ
sự cố mạng,tệ
mạng yếu,tệ
intẻnet kém ,tệ
Khó tiếp thu,tệ
wifi yếu,tệ
Mang yeu,tệ
quản lí thời gian,tệ
dường truyền ,tệ
Nhiều người giơ tay quá không kịp tới lượt mình,tệ
Mất kết nối mạng ,tệ
mất mạng,tệ
mạng,tệ
Hay gặp sự cố cúp điện ,tệ
Đăng kí mạng,tệ
Mạng kém,tệ
khó tiếp cận,tệ
Rớt mạng,tệ
Lâu lâu gặp sự cố ,tệ
"Mạng lag, mất điện ",tệ
mạng internet,tệ
Mạng hay trục trặc ,tệ
đường truyền internet,tệ
Đường truyền internet,tệ
Đôi lúc rớt mạng,tệ
"Ồn ào, mạng không ổn định",tệ
Mất tập trung,tệ
"mạng yếu, giáo viên làm khó",tệ
khó kết nối với bạn bè khi làm bài tập nhóm,tệ
Đường truyền internet,tệ
Ngại hỏi nhiều ,tệ
Khó theo kịp bài ,tệ
Kết nối,tệ
Khó tương tác,tệ
Đường truyền,tệ
mạng wifi,tệ
Giảng dạy còn vài phần nhanh ,tệ
Hay rớt mạng,tệ
tình trạng mạng ,tệ
mạng lag,tệ
Mạng chậm ,tệ
Internet không ổn định,tệ
khó tập trung,tệ
khó tương tác,tệ
mạng yếu ,tệ
Những tác động khác xung quanh nơi học,tệ
Rớt mạng,tệ
"Mất mạng, đường truyền kém ",tệ
Không gặp bạn bè. ,tệ
đường truyền internet,tệ
Mic hư,tệ
Khó tiếp thu,tệ
Phân tâm bởi các nền tảng giải trí,tệ
mất mạng,tệ
Đường truyền ko ổn định,tệ
Rớt mạng ,tệ
Hay bị giật lag và out ra ngoài ,tệ
Mạng yếu,tệ
mạng không ổn định,tệ
mạng không ổn định,tệ
mạng,tệ
Đường truyền không ổn định,tệ
Khó khăn trong đường truyền internet và thảo luận nhóm,tệ
"đường truyền , mất tập trung",tệ
mạng yếu,tệ
mạng yếu,tệ
"thiếu sự tương tác , đường truyền mạng kém",tệ
mạng lag,tệ
sự tập trung khi học,tệ
đã quan học tập với cách truyền thống hơn,tệ
đường truyền mạng,tệ
Sự cố mạng,tệ
mất kết nối,tệ
Mạng ko ổn định ạ,tệ
"Hạn chế của kết nối internet, thiết bị học",tệ
Thỉnh thoảng khó hiểu,tệ
kết nối mạng,tệ
mạng không ổn định,tệ
Mạng lag,tệ
Mạng lag,tệ
hay bị rời ra khỏi lớp đột suất,tệ
vẫn chưa hiểu được bài,tệ
Khó tập trung,tệ
đường truyền internet chập chờn,tệ
đường truyền mạng không ổn định,tệ
đường truyền không ổn định,tệ
Đường truyền hạn chế,tệ
"Khó tậo trung, buồn ngủ",tệ
thườn xuyên bị giật lag,tệ
khó khăn khi làm tập nhóm,tệ
Wifi không ổn định,tệ
Mạng lag,tệ
đường truyền đôi khi gặp vấn đề,tệ
mạng yếu ,tệ
Buồn ngủ ạ,tệ
Khó tiếp thu bài,tệ
khó tập trung,tệ
đường truyền internet không ổn định,tệ
Đường truyền internet nhiều lúc không ổn định,tệ
mạng lag,tệ
Mạng hay lag,tệ
Ít hiểu bài hơn,tệ
Tình trạng mạng,tệ
"Gặp vấn đề về mạng, thiết bị học",tệ
mạng hay out ra ngoài,tệ
Nhà thường xuyên mất điện,tệ
đường truyền internet không ổn đinh ,tệ
Mạng lag,tệ
Khó tiếp thu,tệ
Mạng yếu,tệ
khó hiểu bài hơn học trực tiếp,tệ
đường truyền không ổn định,tệ
đôi lúc mạng không ổn định,tệ
Wifi yếu,tệ
Phụ thuộc đường truyền internet ,tệ
đường truyền internet ko ổn định,tệ
"Đường truyền mạng, cúp điện ",tệ
mạng không ổn định,tệ
Dễ buồn ngủ,tệ
Mất kết nối ,tệ
ít tương tác được với giáo viên,tệ
đường truyền internet,tệ
Mạng yếu,tệ
Mạng yếu ,tệ
kết nối mạng kém,tệ
mạng yếu,tệ
đường truyền kết nói internet.,tệ
đường truyền internet yếu,tệ
Khó trao đổi bài với giảng viên,tệ
không trực tieps trao đổi với giảng viên ,tệ
Không thể trao đổi trực tiếp với giảng viên,tệ
"đường truyền mạng kém, chất lượng tiếp thu hạn chế",tệ
Mạng chập chờn,tệ
Dễ buồn ngủ.,tệ
Khó hỏi bài và làm việc nhóm,tệ
Mạng yếu,tệ
Lâu lâu mạng lag,tệ
Giảng viên khó khăn với sinh viên,tệ
Mất mạng,tệ
Môi trường học ồn,tệ
Lỗi mạng,tệ
Nhà wifi yếu,tệ
Thỉnh thoảng đường truyền kém,tệ
Dễ mất kết nối ,tệ
Lỗi đường truyền,tệ
Phải tốn tiền đăng ký 4G,tệ
"Đường truyền không ổn định, mất điện đột xuất",tệ
Mạng không ổn định,tệ
Mạng yếum lap hư,tệ
Đường truyền không ổn định,tệ
khó trao đổi với giáo viên ,tệ
Mạng yếu,tệ
giao tiếp khó khăn,tệ
Đường truyền internext không ổn định,tệ
Mạng yếu ảnh hưởng vuệc honc,tệ
Không hiểu bài bằng học trực tiếp,tệ
bị mất mạng không học được,tệ
đường truyền internet ko ổn định,tệ
Đường truyền không ổn định,tệ
mạng không ổn định,tệ
Đường tuyền internet,tệ
Mạng yếu ,tệ
Đường mạng không ổn định,tệ
đôi khi gặp lỗi kỹ thuật,tệ
Đường truyền internet không ổn định trong quá trình học ,tệ
"mất mạng, mất điện",tệ
hay mất mạng,tệ
mạng yếu ạ,tệ
"không tập trung được, lười ",tệ
"Máy lag, rớt mạng",tệ
Mạng lag,tệ
Không được học những tiết học trải nghiệm thực tế,tệ
mạng chậm,tệ
Khó làm việc nhóm,tệ
Kết nối internet không ổn định ,tệ
bị mất điện khiến kiến thức bị lỗ hổng,tệ
có khi cúp điện không học được,tệ
Mạng chập trờn,tệ
sự cố internet,tệ
đường truyền không ổn định,tệ
chan nan,tệ
ko có khó khăn,tệ
Mạng không ổn định,tệ
Học trực tuyến không được tập trung như học trực tiếp,tệ
mạng trục trặc,tệ
mất mạng,tệ
Ít sự tương tác trực tiếp,tệ
Mạng yếu ,tệ
đường truyền internet,tệ
Không được hướng dẫn trực tiếp ,tệ
Còn thiếu những trao đổi trực tiếp khi họp nhóm,tệ
Mạng lag,tệ
hay rớt mạng,tệ
Mạng đôi lúc bị chập chờn,tệ
"Mất tập trung, kiến thức khó vô",tệ
Lag,tệ
không có ewifi ,tệ
Buồn,tệ
mất điện,tệ
mạng chập chờn,tệ
ko có tài liệu,tệ
không thấy khó khăn,tệ
Ít tiếp thu nhiều kiến thức ,tệ
đôi lúc đường truyền mạng bị yếu,tệ
mạng chập chờn,tệ
vấn đề đường truyền,tệ
Có nhiều ,tệ
không tương tác nhiều với giáo viên,tệ
cảm thấy khô khan trong qua trình học,tệ
"Mất mạng, cúp điện,....",tệ
Mạng yếu,tệ
đường truyền không ổn định,tệ
mạng không ổn định,tệ
"đường truyền Internet chưa ổn định, laptop nhiều khi bị lag, mất kết nối ",tệ
Không hiểu bài,tệ
"Khó tiếp thu bài do sự cố phát sinh: wifi, tiếng ồn, ...",tệ
chấm điểm không công ,tệ
"Mạng lag, thiết bị trục trặc ",tệ
"Khó tiếp thu trực tiếp, dễ buồn ngủ ",tệ
mất kết nối mạng,tệ
Thiết bị hay hư hỏng,tệ
khó hiểu bài ,tệ
Mạng,tệ
mạng internet,tệ
Mạng Internet bất thường ,tệ
Mạng yếu,tệ
đường truyền internet,tệ
Thiếu tương tác,tệ
rớt mạng,tệ
Internet yếu,tệ
Khó tiếp thu,tệ
"Khó tập trung nghe giảng, đường truyền mạng yếu",tệ
nhà mạng không ổn đinh,tệ
đường truyền internet; thiết bị sử dụng học trực tuyến,tệ
Mạng internet không ổn định,tệ
đường truyền Internet,tệ
Mạng lag,tệ
không hiệu quả,tệ
Đường truyền Internet ,tệ
đường truyền đôi khi không ổn định,tệ
Do đường truyền lúc mạnh lúc yếu ,tệ
mạng lad,tệ
đường truyền kém,tệ
Khó tiếp thu,tệ
"Mạng chậm, máy lag, mất điện",tệ
mạng yếu,tệ
Đường truyền,tệ
Hơi lười ,tệ
đường truyền int,tệ
Không được gặp mặt bạn bè,tệ
Mạng wifi bị yếu,tệ
Đường truyền internet,tệ
đường truyền intrernet,tệ
"đường truyền internet, khó tương tác trực tiếp với giảng viên",tệ
Có được gặp trực tiếp GV ,tệ
Mạng,tệ
mạng yếu,tệ
Đường truyền internet đôi lúc bị ngắt kết nối,tệ
Đường truyền internet yếu,tệ
khó hiểu hơn so với học trực tiếp,tệ
đường truyền internet yếu,tệ
Khó tậm trung ,tệ
cup dien,tệ
Khó tiếp thu bài,tệ
đường truyền internet ,tệ
Mất mạng,tệ
mạng yếu ,tệ
Đường truyền Internet,tệ
đường truyền không ổn định,tệ
Không hiểu bài khó trao đổi ,tệ
Khi cúp điện là không học được,tệ
Không được gặp bạn bè thầy cô,tệ
Mạng kém ,tệ
đường truyền internet,tệ
mạng không ổn định,tệ
Đường truyền internet gián đoạn và đã quen học tập theo phương pháp truyền thống,tệ
Không tiếp thu nhiều,tệ
"Không được gặ gỡ trao đổi trực tiếp cùng giảng viên, bạn bè.",tệ
Đường truyền internet yếu,tệ
Phân tâm ,tệ
Đường truyền mạng kém,tệ
Đường truyền internet bị chậm dẫn đến nghe giảng hơi khó khăn,tệ
Âm thanh hình ảnh,tệ
Thiết bị và đường truyền internet,tệ
mạng yếu ,tệ
Moi mac,tệ
đường truyền không ổn định,tệ
Đường truyền không ổn định,tệ
khó tiếp thu,tệ
đường truyền internet không ổn định,tệ
"Mang yeu, khong hieu bai",tệ
khó hiểu bài,tệ
Mạng kết nối hay bị mất mạng,tệ
"mạng yếu, tốn chi phí phòng",tệ
mạng lag,tệ
Đôi khi em bị mất tín hiệu khi đang thuyết trình,tệ
Mạng ko thể đáp ứng trong vài trường hợp ,tệ
"mạng yếu, khó khăn trong quá trình thảo luận",tệ
Mạng lag,tệ
KHÔNG GẶP MẶT BẠN BÈ ĐỂ TRAO ĐỔI DỄ DÀNG HƠN,tệ
Cúp điện hoặc mạng yếu khó nge thầy cô giảng dạy ạ,tệ
lag,tệ
Wifi yếu,tệ
Đường truyền internet đôi khi không ổn định,tệ
Đường truyền về mạng yếu,tệ
không có quá nhiều khó khăn,tệ
"mất mạng, mất điện",tệ
Không có và mìmh mong đc học onl tiếp,tệ
"mất điện, mất mạng",tệ
khó trao đổi với giảng viên,tệ
đường truyền internet,tệ
Mạng yếu ,tệ
đường truyền không ổn định,tệ
đường truyền mạng không tốt,tệ
buồn ngủ,tệ
hay rớt mạng internet,tệ
Khó tiếp thu,tệ
Khó tiếp thu kiến thức,tệ
Hay rớt mạng ,tệ
khong co,tệ
đường truyền internet,tệ
Khó hiểu bài,tệ
Đường truyền internet hơi kém,tệ
Đường truyền kém ,tệ
Mạng lag,tệ
Internet yếu,tệ
Mang lang,tệ
Kết nối internet,tệ
đường truyền internet không ổn định,tệ
Không tt trực tiếp,tệ
cúp điện ạ,tệ
mạng lag mất mạng,tệ
Gặp vấn đề về internet,tệ
lag ,tệ
về mạng hay bị lag,tệ
buồn ngủ ,tệ
Khó tiếp thu,tệ
mạng không ổn định,tệ
Mạng lang,tệ
đường truyền internet không ổn định,tệ
Mạng yếu,tệ
mất điện,tệ
Dễ bị mất mạng không học được,tệ
Mạng Internet bất thường ,tệ
Đường truyền không ổn định.,tệ
Mạng,tệ
không trao đổi được nhiều với gv,tệ
đường truyền mạng ,tệ
Wifi yếu,tệ
Khoa tiếp thu,tệ
Tương tác trực tiếp vẫn hiệu quả hơn,tệ
rớt mạng,tệ
Dễ buồn ngủ,tệ
Mạng yếu,tệ
Mạng yếu ,tệ
Mạng yếu dễ bị văng khỏi lớp,tệ
Phân tâm ,tệ
Khó tưong tác,tệ
Hơi lười,tệ
đường truyền internet k ổn định ,tệ
Không được gặp mặt bạn bè,tệ
Khó tiếp thu bài,tệ
Đường truyền internet yếu,tệ
(đường truyền internet; thiết bị sử dụng học trực tuyến,tệ
đường truyền Internet,tệ
Mạng lag,tệ
gián đoạn mạng,tệ
mạng kém ,tệ
"thiết bị, đường truyền đôi khi không đáp ứng ",tệ
mạng hay bị lad,tệ
đường truyền internet,tệ
mạng yếu ,tệ
đôi khi đường truyền mạng không tốt,tệ
Mất kết nối mạng thường xuyên,tệ
"mạng yếu, tốn chi phí phòng trọ",tệ
Đôi khi em bị mất tín hiệu trong lúc học,tệ
Mạng chưa ổn định ,tệ
"Hao điện, không có tài liệu offline",tệ
đôi khi wifi chập chờn,tệ
mạng yếu,tệ
mạng lag,tệ
mạng yếu,tệ
internet kết nối yếu,tệ
Đường truyền internet luôn bị gián đoạn,tệ
đường truyền internet,tệ
Mạng yếu,tệ
"đường truyền internet, khó tương tác trực tiếp với giảng viên",tệ
Thiết bị hỗ trợ học tập,tệ
Đường truyền internet bị chậm dẫn đến nghe giảng hơi khó khăn,tệ
Đường truyền mạng không ổn định,tệ
Mạng,tệ
Có thể bị rớt mạng,tệ
Gián đoạn do kết nối internet kém,tệ
mạng yếu,tệ
đường truyền yếu,tệ
Đường truyền internet yếu,tệ
"Giật lag, bị tự kỉ vì lâu k có bạn bè",tệ
MẠNG YẾU ,tệ
khó tương tác với bạn bè thầy cô,tệ
Mạng yếu,tệ
Thiếu tương tác,tệ
không tập trung,tệ
Đường truyền internet không ổn định,tệ
cup dien,tệ
Đường truyền hơi giật lag,tệ
"đường truyền internet yếu, hay cúp điện",tệ
kho tiep thu,tệ
"khó tiếp thu đầy đủ kiến thức, tương tác kém, phụ thuộc vào internet ",tệ
Mạng không ổn định,tệ
Đường truyền internet,tệ
mang yếu,tệ
đường truyền không ổn định,tệ
Ồn ào,tệ
Mạng và cúp điện,tệ
"mạng yếu nhiều khi bị out, thầy cô không thông cảm",tệ
Đường truyền internet không ổn định,tệ
Đường truyền Internet ,tệ
Mạng internet không ổn định,tệ
Mạng lag,tệ
Mạng yếu,tệ
Không tiếp thu nhiều,tệ
kết nối có khi yếu ,tệ
đường truyền internet,tệ
Sự trao đổi giữa sinh viên và giảng viên không được như học trực tiếp tại trường,tệ
mạng không ổn định,tệ
Đường truyền internet đôi khi không ổn định,tệ
Mạng,tệ
mạng,tệ
Mạng Internet bất thường ,tệ
Đường truyền internet,tệ
đường truyền internet,tệ
mạng yếu ,tệ
sóng yếu,tệ
Rớt mạng,tệ
Bất tiện trong thiết bị học,tệ
