Nhận xét,Cảm xúc
"-Tập trung nghe giảng viên giảng bài và biết vận dụng vào bài tập để làm bài, giảng viên dạy nhiệt tình và dễ hiểu.",rất tốt
"Không gian thoải mái, ít áp lực, dễ thích nghi",tốt
"Thiết bị sử dụng hoc rực tuyến,",tốt
Khá nhiều thuận lợi,tốt
không có ,không liên quan
Tiện lợi,tốt
"Tiết kiệm chi phí đi lại , linh hoạt về thời gian và địa điểm học tập . Tiết kiệm được rất nhiều thời gian . ",rất tốt
"Dễ dàng tham gia lớp học, không phải đi xa, không tốn phí đi lại. Có thể nghe rõ, nắm bắt bài học.",rất tốt
Đỡ tốn tiền xăng,tốt
dễ tập trung hon,tốt
Thời gian,tốt
chủ động thời gian hơn,tốt
KHÔNG,không liên quan
"Dễ dàng tham gia lớp học, không phải đi xa, không tốn phí đi lại. Có thể nghe rõ, nắm bắt bài học.",tốt
Đỡ tốn chi phí di chuyển,tốt
Đỡ chi phí tiền xăng vì nhà xa,tốt
Tự chủ thời gian dễ dàng học mọi lúc mọi nơi,tốt
không có ,không liên quan
K mất thời gian di chuyển,tốt
K mất thời gian di chuyển,tốt
Không phải di chuyển,tốt
dễ tập trung hơn,tốt
"Dễ hiểu bài hơn, tiết kiệm được nhiều thời gian hơn",tốt
Thời gian,không liên quan
Thời gian,không liên quan
"Dễ hiểu bài hơn, tiết kiệm được nhiều thời gian hơn",tốt
 ,không liên quan
"có thể quay lại màn hình và xem lại dễ dàng, tiết kiệm chi phí đi lại và thời gian",tốt
Ko có,không liên quan
Tiết kiệm thời gian di chuyển,tốt
Thêm 1 cách học mới,tốt
"có thể quay video và xem lại dễ dàng, tiết kiệm nhiều chi phí",tốt
Ko có,không liên quan
Tiết kiệm thời gian di chuyển,tốt
Thêm 1 cách học mới,tốt
thời gian linh hoạt hơn,tốt
"Dễ dàng tham gia lớp học, không phải đi xa, không tốn phí đi lại. Có thể nghe rõ, nắm bắt bài học.",rất tốt
K có,không liên quan
Chủ dộng trong việc học,tốt
không có ,không liên quan
Vui,tốt
KHÔNG,không liên quan
tập trung hơn,tốt
 ,không liên quan
K có,không liên quan
Vui,tốt
Thời gian thoải mái,tốt
thoải mái,tốt
"thời gian ổn thỏa, giảm áp lực tài chính ",tốt
không,không liên quan
tiết kiệm đc thời gian đến trường,tốt
Không phải đi xa,tốt
linh hoạt về thời gian và địa điểm học tập,tốt
dễ tìm kiếm tài liệu,tốt
"Thấy rõ nội dung bài giảng, nghe rõ âm thanh",tốt
Tới thời gian học chỉ cần bật lên học,tốt
có thể tìm tài liệu tự do,tốt
Thoải mái thời gian,tốt
Dễ sắp xếp tg,tốt
có thể quay màn hình buổi học để xem lại,tốt
Kiểm soát được thời gian  ,tốt
"Không phải vướng bận về tình hình giao thông như kẹt xe ,Thoải mãi trong giờ giấc hơn khi không phải đi đến trường ,trang phục chỉ cần lịch sự và khá thoải mãi khi ở nhà.",rất tốt
Không,không liên quan
gia đình tạo điều kiện hết mức có thể,tốt
"Không bị trễ học, tiện lợi",tốt
tiện lợi,tốt
dễ tiếp thu,tốt
thời gian thoải mái ,tốt
Thoải mái tiện lợi,tốt
Quản lý tốt thời gian ,tốt
"dễ dàng quản lí thời gian,. . .",tốt
"Tiết kiệm thời gian di chuyển, có nhiều thời gian tìm hiểu bài.",tốt
"Tiết kiệm chi phí, thời gian ổn thỏa",tốt
dễ tương tác với giảng viên,tốt
Có thể tự tin chứ động xung phong phát biểu nhiều hơn~,tốt
Tránh được dịch bệnh,tốt
dễ,tốt
không gặp phải vấn đề kẹt xe,tốt
Tiện lợi cho sinh viên xa trường,tốt
linh hoạt về thời gian và địa điểm học tập,tốt
dễ tìm kiếm tài liệu,tốt
"Nghe rõ, tập trung ",tốt
Ít tốn kém,tốt
Thoải mái thời gian,tốt
Dễ làm chủ được thời gian,tốt
Dễ dàng tra cứu tài liệu học tập,tốt
sắp xếp tg hợp lý,tốt
tiện lợi hơn khi đến trường,tốt
Không cần ra đường,tốt
có thể xem lại bài giảng khi kết thúc buổi học,tốt
"thời gian học thoải mái , không gian dễ học",tốt
Kiểm soát được thời gian,tốt
Không,không liên quan
Nhìn rõ bài giảng,tốt
giáo viên không cập nhât công nghệ,tệ
Không tốn thời gian đi lại,tốt
Dễ dàng nghiên cứu tài liệu,tốt
Đề dễ hơn,tốt
Thuận tiện thời gian,tốt
Ko có,không liên quan
Vui,tốt
không có ,không liên quan
chủ động thời gian,tốt
Ko có gì,không liên quan
"tiết kiệm thời gian, không trễ giờ học ",tốt
"Tiết kiệm chi phí đi lại , linh hoạt về thời gian và địa điểm học tập . Tiết kiệm được rất nhiều thời gian . ",rất tốt
dễ tập trung hơn,tốt
Ko bị lậy bệnh,tốt
hạn chế việc đi trễ,tốt
thời gian tham gia học ổn định,tốt
Tiện lợi,tốt
"Đường truyền, thiết bị học tập ổn định",tốt
"internet ổn định, không ồn ào",tốt
.,không liên quan
không có ,không liên quan
có đầy đủ thiết bị để sử dụng cho học trực tuyến,tốt
dễ tập trung hơn,tốt
.,không liên quan
Không trễ giờ học,tốt
mọi thứ đều thuật lợi,tốt
chủ động thời gian,tốt
Tiện lợi,tốt
"thời gian, địa điểm thuận lợi",tốt
không có ,không liên quan
không có,không liên quan
ko,không liên quan
có đầy đủ thiết bị để sử dụng cho học trực tuyến,tốt
"Đường truyền, thiết bị học tập đều ổn định",tốt
môi trường yên tĩnh,tốt
quản lý thời gian;tiết kiệm chi phí,tốt
"thời gian, địa điểm thuận lợi",tốt
"Đỡ phải di chuyển, đỡ tốn chi phí đi lại,quản lý được thời gian ",tốt
không có,không liên quan
ko,không liên quan
Khong ,không liên quan
bình thường,bình thường
Tiếp thu tốt,tốt
quản lý thời gian hiệu quả,tốt
không,không liên quan
Tiết kiệm thời gian,tốt
Dễ dàng xem lị,tốt
không có,không liên quan
Được học tại nhà nên rất tiện.,tốt
Thoải mái hơn,tốt
quản lí được thời gian,tốt
môi trường học tập thoải mái,tốt
bài giảng chi tiết và thú vị không làm cho sinh viên bị buồn chán vì học quá nhiều ,rất tốt
có nhiều thời gian cho tiềm hiểu và tài liệu điểm cộng nhiều,tốt
quản lí được thời gian,tốt
"giảm được chi phí học tập , ở trọ",tốt
Thầy hỗ trợ hết mình,tốt
"Ưu điểm của lớp học trực tuyến là khả năng giảm thiểu chi phí đi lại, tiết kiệm được thời gian và không gian học tập. Hơn thế nữa, việc xây dựng thiết kế web trường học không tốn nhiều chi phí bằng việc xây dựng một trường học và cũng không cần giấy phép xây dựng phức tạp",rất tốt
vô lớp nhanh,tốt
Tiếp thu tốt,tốt
Thời gian đẹp,tốt
học tại nhà không cần phải lên trường,tốt
Được thoải mái hơn khi học ở nhà.,tốt
"tiết kiệm thời gian, chi phí di chuyển",tốt
"-Tự tin phát biểu, Kỹ năng sử dụng công nghệ được cải thiện hơn.",tốt
Thoải mái,tốt
không,không liên quan
chủ động về thời gian,tốt
Thoải mái hơn,tốt
Giúp em có thể linh hoạt về thời gian và cải thiện tính chuyên cần hơn.,tốt
tiện lợi,tốt
Không có,không liên quan
Thầy có thể giảng lại ,tốt
bình thường ,bình thường
Bảo vệ bản thân khỏi dịch bệnh,tốt
Tuyệt,tốt
Không cần đi lại,tốt
đỡ tốn tiền xăng,tốt
Ở nhà ,tốt
Nhanh chong,tốt
Tra cứu thông tin nhanh chóng,tốt
Không cần đi lại,tốt
Không phải di chuyển nhiều,tốt
đường truyền ổn định,tốt
Không sợ trễ giờ ,tốt
kỹ năng sử dụng công nghệ,tốt
Ổn,bình thường
Không tốn thời gian di chuyển,tốt
em được ở nhà,tốt
Thoải mái học tập dễ ,tốt
Ko di chuyển xa,tốt
Dễ dàng tham gia lớp học,tốt
thoải mái,tốt
dễ dàng tham lớp học,tốt
Thoải mái ,tốt
"Tiện lợi, dễ hiểu , tự tạo khả năng tự hiểu bài cao",tốt
Không tốn thời gian di chuyển tới trường,tốt
"Giảng viên vui vẻ,hoà đồng",tốt
Không,không liên quan
dịch nhưng vẫn đc học,tốt
Thuận tiện bớt đi lại,tốt
thoải mái trong vấn đề thời gian,tốt
"tiết kiệm thời gian đến trường, và giảm thiểu tai nạn giao thông",tốt
Thuận tiện đi lại,tốt
Thuận tiện,tốt
Dễ dàng trong việc phân bố thời gian,rất tốt
Thoải mái,tốt
có thể ghi hình được màn hình trong quá trình học,tốt
chủ động thời gian,tốt
dễ hoạt động độc lập,tốt
Giao bài tập và làm bài tập nhanh gọn hơn,tốt
Dễ hiểu,tốt
Thời gian,không liên quan
"Dễ hiểu, quản lý được thời gian",tốt
"Dễ trả thông tin chưa hiểu rõ, quay được video quá trình giảng đẻ xem lại",tốt
không mất nhiều thời gian và chi phí di chuyển,tốt
không,không liên quan
thoải mái,tốt
"Cô giảng hay, dễ hiểu",tốt
Không cần di chuyển,tốt
Vui vẻ ,tốt
Đường truyền internet và thiết bị sử dụng học trực tuyến đều ổn,tốt
"cô vui tính nhưng nghiêm trong kiểm tra , nhiệt huyết",tốt
Thoái mái,tốt
Có thời gian ôn bài,tốt
tiện lợi ,tốt
tiện trong việc lưu giữ bài,tốt
Dễ hiểu và típ thu bài.,tốt
quá trình thi diễn ra không tao nhiều áp lực và đề mở cũng dễ hơn,tốt
tự học,tốt
Thời gian làm bài dài hơn,tốt
khong,tốt
Yên tĩnh,tốt
"không bị cản trở bởi thởi tiết, thoải mái, mạng ổn định",tốt
không cần đi xa,tốt
giảm thiểu thời gian di chuyển,tốt
Thoải mái tương tác,tốt
Giảng viên tạo điều kiện cho sinh viên đạt điểm cao,tốt
dễ tiếp thu,tốt
không tốn xăng ,tốt
những phần học rất bổ ích,tốt
"thoải mái khi học ở nhà, dễ dàng lưu trữ thông tin, bài giảng, kiến thức để xem lại hơn khi học off",tốt
.,không liên quan
giúp em tiếp xúc với công nghệ nhiều hơn,tốt
Học onl rất tuyệt,rất tốt
không,không liên quan
Chủ động tra cứu thông tin,tốt
"năng lực tự học, quản lý thời gian",tốt
Dễ hiểu bài ,tốt
Tiết kiểm thời gian,tốt
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
Thoải mái hơn,tốt
không cần di chuyển,tốt
Có thể tham khảo tài liệu trên nhiều phương tiện khác nhau ,tốt
ít tiep xúc trong tính hình dịch bệnh,tốt
Quản lý tốt thời gian vào lớp,tốt
Tránh được dịch bệnh,tốt
không mất thời gian cho việc đi lại vì nhà em ở rất xa trường,tốt
tăng cường sự tập trung cho việc học,tốt
dễ dàng học tập,tốt
"Tiện tích, thoải mái",tốt
Trả lời nhanh chóng câu hỏi,tốt
Không có,không liên quan
Thoải mái về thời gian,tốt
Không mất thời gian di chuyển,tốt
Việc đi lại,tốt
 năng lực tự học của bản thân như sự tập trung,tốt
Đở tốn thời gian di chuyển,tốt
Mạng tốt,tốt
Thoải mái,tốt
Tại nhà,tốt
có đủ thiết bị học tấp,tốt
Được ở nhà ạ,tốt
Tiện lợi,tốt
Thoải mái thời gian,tốt
quản lý thời gian dễ dàng,tốt
thuận tiện,tốt
Tại nhà,tốt
xem lại video bài giảng,tốt
"không bị kẹt xe, không đi trễ",tốt
Dễ dàng lưu bài học,tốt
KHÔNG,không liên quan
thoải mái hơn,tốt
Học tập tốt giáo viên giảng dạy nhiệt tình,tốt
Quản lý được thời gian học,tốt
Không càn đi lại nhiều,tốt
Không,không liên quan
kiểm tra không bị áp lực,tốt
sự tập trung,tốt
Không phải di chuyển nhiều,tốt
"có thể học mọi lúc, mọi nơi, không phải vất vả trong việc đi đến trường",tốt
"Được thầy cô giảng dạy nhiệt tình, dễ hiểu",tốt
Đỡ tốn các khoản chi tiêu,tốt
tiện lợi,tốt
"Dễ tiếp thu, nhanh hoà nhập được với tiến độ của lớp",tốt
quản lý thời gian,tốt
quản lý thời gian,tốt
dễ tương tác,tốt
Không phải đến trường ,tốt
Cô giảng bài rất nhiệt tình,tốt
không có,tốt
Không,không liên quan
đỡ thời gian di chuyển,tốt
Hiểu rõ đc bài ạ,tốt
Thuận tiện và ở gần với gia đình,tốt
"Dễ tập trung làm bài, nghe giảng",tốt
yên tĩnh ,tốt
linh động hơn,tốt
Hạn chế việc di chuyển xa,tốt
"cô giảng bài nhiệt tình, dễ hiểu ạ.",tốt
khong,không liên quan
không ,không liên quan
tiện lợi trong việc học,tốt
Không phải di chuyển tự tin phát biểu,tốt
không,không liên quan
Khoing có,không liên quan
Không phải đi đến trường ,tốt
Chủ động được thời gian,tốt
none,không liên quan
Tiết kiệm thời gian,tốt
tiết kiệm tiền xăng xe,tốt
Có thể an toàn hơn trong mùa dịch.không phải đi lại,tốt
Tiện,tốt
e không phải dậy để đi học xa nữa,tốt
Không cần đi xa tới trường,tốt
Chủ động được thời gian,tốt
gio giac,không liên quan
không gian yên tĩnh,tốt
Dễ tìm tài liệu,tốt
tiện ,tốt
"Vừa học vừa giải trí, rất thuật lợi ạ ",tốt
Không,không liên quan
Thuận tiện thời gian,tốt
không phải di chuyển xa khi học,tốt
Yên tĩnh,tốt
Tập trung và quản lý được thời gian ,tốt
"An toàn, tiết kiệm",tốt
thỏa mái,tốt
"tiết kiệm xăng,tiền trọ,thời gian đi lại",tốt
Thời gian khoảng cách,tốt
Học dễ dàng ở nhiều địa điểm,tốt
không có,không liên quan
sắp xếp thời gian thuận tiện,tốt
Dễ hiểu,tốt
Tiết kiệm thời gian đi lại,tốt
Có nhìu thời gian,tốt
.,không liên quan
Dễ hiểu,tốt
khong,không liên quan
không,không liên quan
Tham gia lớp học đúng giờ,tốt
Thoải mái dễ tiếp thu ,tốt
Giảng viên thân thiện nhiệt tình cố gắng giúp sinh viên tiếp thu được kiến thức,tốt
không phải di chuyển,tốt
giảng viên cung cấp nhiều tài liệu,tốt
Không phải đến trường,tốt
chủ động được thời gian,tốt
quản lý thời gian,tốt
tập trung hơn,tốt
"Rất tiện lợi, điểm cao và đỡ chi phí",tốt
no,không liên quan
Tiết kiệm thời gian,tốt
Dễ dàng phát biểu,tốt
tốt,tốt
Không,không liên quan
Dễ hiểu và dễ tương tác với giảng viên,tốt
đường truyền ổn định,tốt
Không có,không liên quan
Tiện,tốt
Có thể an toàn hơn trong mùa dịch.không phải đi lại.,tốt
"Tranh thủ được thời gian, dễ tìm tài liệu",tốt
Không phải di chuyển nhiều,tốt
không tốn quá nhiều chi phí đi lại,tốt
rất tệ,không liên quan
không tốn tiền trọ,tốt
Thoải mái,tốt
"không cần di chuyển xa, giảng viên nhiệt tình hỗ trợ",tốt
tiết kiệm thời gian di chuyển,tốt
không có,rất tệ
Không,không liên quan
Thi điểm ổn hơn thi off,bình thường
.,không liên quan
tiện lợi,tốt
Không phải di chuyển đến nơi học vì nhà ở cách trường học cũng khá xa.,tốt
không có ,không liên quan
không gian yên tĩnh,tốt
THOAI MAI,tốt
thời gian vào lớp thuận tiện hơn,tốt
Không,không liên quan
Tốn ít thời gian di chuyển ,tốt
không có,không liên quan
no cmt,không liên quan
Dễ tìm tài liệu,tốt
tiết kiệm chi phí,tốt
học ở bất kì nơi nào,tốt
áp ứng của giảng viên; giao diện chương trình học; đã quen học tập theo phương pháp truyền thống; kỹ năng sử dụng công nghệ để học tập trực tuyến; ...),rất tốt
Tránh tiếp xúc nhiều người trong mùa dịcch,tốt
Không ,không liên quan
rất tệ,không liên quan
Làm chủ thời gian ,tốt
Dễ tập trung dễ hiểu ,tốt
Quản lý thời gian,tốt
"Dễ dành lưu tài liệu, lưu bài học dc với nhiều cách",tốt
Ok,bình thường
Không cần đi xe đến trường,tốt
KHÔNG,không liên quan
Thuận lợi di chuyển,tốt
Không di chuyển xa xôi ,tốt
Không đi lại,tốt
ko,không liên quan
đỡ phải di chuyển,tốt
tốt,tốt
"Ít tốn thời gian, bài giản được cung cấp nhanh ",tốt
Thời gian linh hoạt ,tốt
Hạn chế ồn ào,tốt
"đỡ phải di chuyển , an toàn ",tốt
Không cần đến trường,tốt
Tránh được covid,tốt
không đi trễ,tốt
Không có,không liên quan
Không,không liên quan
đỡ mất thời gian đến trường,tốt
không ý kiến,không liên quan
không có,không liên quan
"Kh cần phải lên lớp, tránh tiếp xúc",tốt
điểm cao,tốt
Ko có ,không liên quan
Không,không liên quan
ở nhà thoải mái,tốt
Tự chủ động nơi học,tốt
quản lý thời gian,tốt
dễ hiểu,tốt
không,không liên quan
.,không liên quan
k có,không liên quan
bình thường,bình thường
học tại nhà,tốt
không,không liên quan
không,không liên quan
không,không liên quan
Không bị kệt xe trễ h học,tốt
bình thường,bình thường
Dễ sắp xếp thời gian ,tốt
Hạn chế tiếp xúc mùa dịch,tốt
an toàn tiện lợi,tốt
Tiện lợi,tốt
  ,rất tệ
môi trường học tập thoải mái,tốt
Quản lí thời gian,tốt
Không di chuyển nhiều,tốt
"Dễ sắp xếp thời gian , có thể tập trung hơn",tốt
Dễ quản lý thời gian,tốt
Tất cả đều thuận lợi,tốt
không ,không liên quan
Không gian,không liên quan
thoải mái,tốt
"không phải tham gia giao thông, không tốn chi phí di chuyển hay chi phí cá nhân",tốt
năng lực tự học của bản thân,tốt
Tiết kiệm tg,tốt
Phòng tránh dịch bệnh,tốt
Dễ học,tốt
Tiết kiệm thời gian,tốt
tập trung hơn ,tốt
thoải mái và tuyện lợi,tốt
không có,không liên quan
Dễ tiếp thu,tốt
Không đi trễ,tốt
rất tệ,không liên quan
không mất thời gian di chuyển,tốt
quản lý thời gian,tốt
Tiện lợi,tốt
"Chủ động, linh hoạt và tạo không gian thoải mái khi học",tốt
"nhanh, gọn, lẹ",tốt
Học tại nhà,tốt
thời gian học,tốt
Kiểm soát được dịch bệnh,tốt
Không cần đi lại,tốt
không ý kiến,bình thường 
Học hiểu hơn ,tốt
Không phải duy chuyển,tốt
đỡ bị làm phiền với những người xung quanh,tốt
Chủ động về thời gian hơn,tốt
không có,không liên quan
"không phải tiếp xúc với dịch bệnh, tiện lợi",tốt
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
Không,không liên quan
Không ý kiến ,không liên quan
thoải mái,tốt
không học trễ ,tốt
không có ý kiến thêm,không liên quan
đường truyền internet,tốt
an toàn,tốt
Không mất thời gian đi lại,tốt
Thuận tiện đi lại,tốt
quản lý đc thời gian,tốt
Kiế kiệm tg đi lại,tốt
chủ động được thời gian,tốt
Không phải di chuyển trong thời điểm dịch bệnh còn phức tạp,tốt
ok,bình thường
Môi trường thoải mái,tốt
chăm học hơn,tốt
KHONG CÓ,không liên quan
bình thường ,tốt
"ít di chuyển bằng phương tiện giao thông , quản lí được thời gian",tốt
Dễ tiếp thu,tốt
Quản lý được thời gian,tốt
Không phải đi xa,tốt
dễ nhìn bài giảng,tốt
dêc tiếp thu bài giảng,tốt
Vào lớp đúng giờ,tốt
biết thêm nhiều kiến thức mới,tốt
tiết kiệm được nhiều gian ,tốt
Không phải đi lại nhiều,tốt
Đỡ tiền xăng dầu đi lại,tốt
đáp ứng của giảng viên,tốt
Quản lý tốt thời gian học,tốt
Không phải đến trường ,tốt
Không xa nhà,tốt
Bài dễ hiểu,tốt
không cần phải đến trường,tốt
thời gian,không liên quan
Ko phải ra đường mùa dịch,tốt
"Được thầy hỗ trợ, giải đáp thắc mắc nhanh, phát triển được kỹ năng sử dụng thiết bị máy tính và kỹ năng tiếng anh.",rất tốt
Tiết kiệm chi phí,tốt
bình thường,bình thường
thuận tiện hơn,tốt
có nhiều thời gian tự học,tốt
dễ hiểu,tốt
dễ quản lí thời gian,tốt
Tiết kiệm thời gian,tốt
Không phải đi chuyển thoải mái,tốt
tốt,tốt
Tập trung học tốt hơn,tốt
Không,không liên quan
"Không sợ muộn học, học được ở bất cứ đâu",tốt
Không phải lên trường học trực tiếp khi tình hình dịch còn phức tạp,tốt
Có quen thêm bạn mới ,tốt
Tiết kiệm tiền xăng.,tốt
Cảm giác học online rất thoải mái và việc tương tác cũng thoải mái hơn,tốt
"Nâng cao tính tự học, có hiểu biết nhiều hơn về truyền thông, giảng viên giảng cụ thể, chậm rãi, dễ bắt chuyện cũng như giải đáp thắc mắc",rất tốt
Ta hạn chế tiếp xúc được nhiều người trong thời gian dịch và cũng thoải mái hơn khi học trực tiếp. ,tốt
"Giảng viên tận tuỵ, triển khai bài học dễ hiểu",tốt
Không có thuận lợi,tệ
Tham gia nhanh chóng,tốt
Không phải đi xa,tốt
tự học của bản thân,tốt
Học tập đúng giờ,tốt
"giúp em thành thạo hơn trong việc sử dụng công nghệ để học tập trực tuyến, có nhiều thời gian để học hơn, học online giúp em phải tự học nhiều hơn",rất tốt
tiết kiệm thời gian,tốt
Không đến trường trong mua dịch,tốt
Nâng cao kỹ năng sử dụng phần mềm máy tính ,tốt
dễ tiếp cận giảng viên,tốt
"Học sinh được biết thêm nhiều kiến thức mới, nhiều điều thực tiễn trong xã hội",tốt
Được ghi hình lại bài giảng,tốt
"tiết kiệm chi phí đi lại, áp dụng công nghệ hiện đại vào học tập",tốt
giúp hiểu bài dc sâu hơn ,tốt
Kỹ năng sử dụng công nghệ để học trực tuyến tốt hơn,tốt
thuận tiện,tốt
"Dễ lưu bài học, dễ hiểu",tốt
thoải mái trong vấn đề thời gian,tốt
không,tốt
"dễ kiểm soát không gian và thời gian, thoải mái trong sinh hoạt",tốt
Thời gian đẹp ,tốt
Tiết kiệm thời gian ,tốt
"lưu lai được quá trình học, bài giảng",tốt
không cần phải lên trường nhưng vân học được,tốt
Môi trường học tập thoải mái,tốt
không có,không liên quan
dễ dàng thao tác khi học,tốt
Được học tại nhà nên rất tiện.,tốt
Được học tại nhà,tốt
Không,không liên quan
Ko mất thời gian di chuyển,tốt
 dễ trao đổi với giáo viên,tốt
Dễ xem lại,tốt
quản lí được thời gian ,tốt
"giảng viên có vốn hiểu biết rộng, chương trình học thú vị ",tốt
Học giỏi,tốt
vô nhanh ,tốt
Được ở nhà ạ ,tốt
quản lý thời gian dễ dàng,tốt
Thoải mái thời gian,tốt
"Ưu điểm của lớp học trực tuyến là khả năng giảm thiểu chi phí đi lại, tiết kiệm được thời gian và không gian học tập. Hơn thế nữa, việc xây dựng thiết kế web trường học không tốn nhiều chi phí bằng việc xây dựng một trường học và cũng không cần giấy phép xây dựng phức tạp",rất tốt
Tiếp thu tốt ,tốt
Học tại nhà,tốt
có thể xem lại bài giảng,tốt
"không bị kẹt xe, không trễ giờ học ",tốt
Được thoải mái hơn khi học ở nhà.,tốt
"tiết kiệm thời gian, chi phí di chuyển",tốt
KHÔNG,không liên quan
có thể học tại nhà,tốt
- Không gian yên tĩnh khi học 1 mình giúp tập trung hơn nhiều; Tự tin phát biểu hơn.,tốt
Học tập tốt giáo viên giảng dạy nhiệt tình,tốt
"Thoải mái, thầy giảng dễ hiểu ",tốt
Có thể tiếp thu ạ,tốt
không,không liên quan
chủ động về thời gian,tốt
Quản lý được thời gian học,tốt
Làm việc nhóm thuận tiện hơn,tốt
Giúp em dễ dàng kiểm soát thời gian hơn việc học trực tiếp,tốt
tiện lợi,tốt
Chủ động được thời gian. Tiết kiệm thời gian chạy đi học và đi về ,tốt
tốt,tốt
tiện,tốt
Bảo vệ bản thân khỏi dịch bệnh,tốt
tốt,tốt
không,không liên quan
Không tốn kém đi lại,tốt
Vui vẻ hơn,tốt
Tiện lợi,tốt
Học thoải mái không có áp lực về thời gian,tốt
Ở nhà ,tốt
Đỡ tốn các khoản chi tiêu,tốt
Tra cứu các thông tin dễ dàng,tốt
tiện,tốt
đường truyền ổn định,tốt
Không phải di chuyển ,tốt
Không cần đi lại,tốt
Không sợ trễ giờ ,tốt
kỹ năng sử dụng công nghệ,tốt
Ổn,tốt
Thầy rất quan tâm đến học sinh,tốt
Thầy giảng dễ hiểu và rất dễ tính,tốt
em được ở nhà,tốt
không có,không liên quan
....,không liên quan
"tiện nghi, thoải mái",tốt
dễ dàng tham gia lớp học,tốt
dễ tiếp thu bài,tốt
Dễ dàng tham gia lớp học,tốt
í ,không liên quan
Không bất tiện về việc đi lại,tốt
Không ,không liên quan
"Dễ bị mất tập trung, không hiệu quả như khi học trực tiếp.",tốt
Không tốn thời gian di chuyển đến trường,tốt
bình thường ,bình thường
Học tập tại nhà,tốt
Giảng viên tích cực,tốt
"Dạ giảng viên rất nhiệt tình giảng dạy, giúp đỡ học sinh và phần mền học tập dễ sử dụng ạ.",rất tốt
thoải mái về thời gian,tốt
dịch nhưng vẫn đc học,tốt
Dễ hiểu,tốt
có nhiều thời gian cho tiềm hiểu và tài liệu điểm cộng nhiều,tốt
quản lý thời gian hiệu quả,tốt
"tiết kiệm thời gian đến trường, và giảm thiểu tai nạn giao thông",tốt
"Tiện lợi, thoải mái",tốt
Hiểu bài hơn,tốt
Tiện,tốt
Vui vẻ,tốt
Không có,không liên quan
Thoải mái thời gian,tốt
Dễ dàng cung cấp thông tin,tốt
"Học tập thoải mái, biết thêm được các kĩ năng sử dụng thiết bị điện tử.",tốt
Thời gian,tốt
Đọc được nhiều tài liệu,tốt
Giúp em tiếp xúc và tìm hiểu về máy tính nhiều hơn. ,tốt
"Dễ trả thông tin chưa hiểu rõ trên mạng, lưu lại video giảng dạy",tốt
"năng lực tự học của bản thân như sự tập trung, quản lý thời gian",tốt
không mất nhiều thời gian và chi phí di chuyển,tốt
"Tiết kiệm thời gian đến trường, an toàn ",tốt
không,không liên quan
tiếp thu kiến thức ,tốt
Thuận tiện đi lại,tốt
thoải mái,tốt
Học được cách quản lý thời gian,tốt
Mạng tốt,tốt
quản lý được thời gian,tốt
Không đi xa,tốt
Không cần di chuyển,tốt
Thoải mái,tốt
học mọi lúc mọi nơi,tốt
đường truyền internet và thiết bị sử dụng học trực tuyến đều ổn,tốt
Có thể record màn hình trong suốt quá trình học và xem lại,tốt
"thầy nhiệt huyết, vui tính",tốt
di chuyển và thời gian,tốt
"Tiết kiệm thời gian , học tập đạt hiệu quả",tốt
Thoải mái,tốt
thoải mái hơn,tốt
Dễ thuận tiện,tốt
Dễ hiểu nếu không hiểu vấn đề nào có thể nhắn tin bạn bè hoặcthầy cô để trả lời ngay.,tốt
"tiết kiệm thời gian, thuận lợi cho việc học bất cứ đâu",tốt
không phải đến trường khi tình hình dịch bệnh căng thẳng ,tốt
Không phải di chuyển nhiều,tốt
Nắm bắt được thời gian,tốt
"đường tuyền internet tốt, ổn định",tốt
Trong lúc học được tham khảo nhiều nguồn tài liệu hơn,tốt
có thể tự tin phát biểu vì không ai thấy mặt mình,tốt
không áp lực khi kiểm tra,tốt
Giảng viên tạo điều kiện để sinh viên học tập hiệu quả,tốt
quản lý thời gian,tốt
"có thể học mọi lúc, mọi nơi, không phải vất vả trong việc đi đến trường",tốt
sử dụng thành thạo công cụ học  trực tuyến,tốt
Có đủ thiết bị học tập,tốt
sự tập trung,tốt
tiện lợi,tốt
Thầy dạy dễ hiểu,tốt
tiếp thu kiến thức dễ dàng,tốt
Học onl rất tuyệt với em,tốt
"năng lực tự học, quản lý thời gian",tốt
"chủ động được thời gian, hạn chế thời gian đi lại chuyển lớp",tốt
quản lý thời gian,tốt
"Yên tĩnh, tiết kiệm",tốt
Internet ổn định,tốt
"Hạn chế di chuyển , chống dịch ",tốt
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
Thoải mái hơn,tốt
Không,không liên quan
"Dễ tập trung nghe giảng, làm bài",tốt
"không phải mất nhiều thời gian cho việc đi lại, thoải mái.",tốt
Có thể tham khảo tại nhiều phương tiện khác nhau,tốt
linh động,tốt
Quản lý thời gian vào học hợp lý,tốt
Có thể chụp lại màn hình bài giảng,tốt
Thuận tiện và gần gũi với gia đình,tốt
sự tập trung,tốt
Quản lý thời gian,tốt
"Vui vẻ, dễ hiểu",tốt
"thoải mái khi học ở nhà, dễ dàng lưu trữ thông tin, bài giảng, kiến thức để xem lại hơn khi học off",rất tốt
tiện ,tốt
 ,không liên quan
bình thường,bình thường
